City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Thompson,CA,55.7435,-97.8558,54.75,67,100,4.92,overcast clouds
123,Belmonte,BR,-15.8631,-38.8828,77.5,77,50,4.9,scattered clouds
124,Dingle,PH,10.9995,122.6711,80.56,82,100,0.98,overcast clouds
125,Caravelas,BR,-17.7125,-39.2481,72.88,83,20,4.61,few clouds
126,Khatanga,RU,71.9667,102.5,34.59,82,83,10.83,broken clouds
127,Pyaozerskiy,RU,65.8333,31.1667,46.27,72,100,3.38,overcast clouds
128,Mnogovershinnyy,RU,53.9353,139.9242,55.08,60,31,5.21,scattered clouds
129,Erzin,TR,36.9559,36.2,72.32,85,0,3.2,clear sky
130,Cidreira,BR,-30.1811,-50.2056,53.78,64,21,7.09,few clouds
131,Imbituba,BR,-28.24,-48.6703,55.94,91,8,5.84,clear sky
132,Altay,CN,47.8667,88.1167,60.91,32,1,4.72,clear sky
133,Airai,TL,-8.9266,125.4092,61.23,85,97,2.08,overcast clouds
134,Russell,US,32.3502,-85.1999,84.51,56,53,6.44,broken clouds
135,Anyama,CI,5.4946,-4.0518,79.61,88,100,1.92,overcast clouds
136,Aklavik,CA,68.2191,-135.0107,35.6,75,90,12.66,overcast clouds
137,Brownwood,US,31.7093,-98.9912,65.52,63,96,14.97,overcast clouds
138,Qaanaaq,GL,77.484,-69.3632,32.92,92,100,2.91,overcast clouds
139,Adamas,GR,36.7333,24.4333,65.62,77,15,10.11,few clouds
140,Nur,PL,52.6683,22.3221,46.74,80,93,2.06,overcast clouds
141,Cabedelo,BR,-6.9811,-34.8339,75.87,82,7,11.5,clear sky
142,Ancud,CL,-41.8697,-73.8203,58.42,98,100,14.18,light rain
143,Avera,US,33.194,-82.5271,80.26,43,82,4.16,broken clouds
144,Moussoro,TD,13.6408,16.4901,93.56,13,39,8.57,scattered clouds
145,Gigmoto,PH,13.7796,124.39,83.46,83,90,5.28,overcast clouds
146,Jetafe,PH,10.1472,124.1539,81.14,78,100,4.52,moderate rain
147,Kamenka,RU,51.3223,42.7678,50.88,83,100,9.62,overcast clouds
148,Inta,RU,66.0317,60.1659,42.33,85,99,21.81,overcast clouds
149,Rocha,UY,-34.4833,-54.3333,53.91,75,67,8.68,broken clouds
150,Victoria,HK,22.2855,114.1577,81.32,95,100,5.08,moderate rain
